Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,104.010002,104.970001,103.019997,104.839996,91.999298,4551000
2019-04-30,104.680000,106.419998,103.309998,106.220001,93.210289,5101400
2019-05-01,106.059998,106.500000,104.260002,104.620003,91.806236,2615100
2019-05-02,104.620003,106.029999,104.099998,105.510002,92.587250,2589800
2019-05-03,106.139999,106.949997,105.320000,106.650002,93.587608,3107500
2019-05-06,104.550003,105.889999,104.010002,104.620003,91.806236,2704900
2019-05-07,103.879997,104.080002,101.099998,102.089996,89.586113,4221600
2019-05-08,102.239998,103.139999,101.750000,101.849998,89.375504,2497800
2019-05-09,101.080002,101.080002,99.769997,100.750000,88.410240,3998700
2019-05-10,100.209999,101.000000,98.430000,100.629997,88.304924,3071200
2019-05-13,98.620003,99.480003,97.870003,99.349998,87.181686,3766300
2019-05-14,99.650002,100.930000,99.559998,99.760002,87.541489,2889100
2019-05-15,99.410004,102.010002,98.870003,101.540001,89.103477,3818300
2019-05-16,101.599998,102.900002,100.980003,101.309998,88.901649,3337900
2019-05-17,99.540001,100.650002,99.000000,99.400002,88.060043,2587000
2019-05-20,98.599998,98.839996,97.879997,98.519997,87.280411,2088500
2019-05-21,99.349998,99.750000,98.540001,99.410004,88.068886,1762100
2019-05-22,98.720001,98.820000,97.440002,97.500000,86.376801,2580700
2019-05-23,96.919998,97.000000,95.150002,96.169998,85.198524,3111900
2019-05-24,96.410004,96.820000,95.339996,95.849998,84.915039,2401700
2019-05-28,95.879997,95.949997,94.070000,94.070000,83.338112,3357400
2019-05-29,93.959999,95.120003,93.040001,94.769997,83.958229,3388100
2019-05-30,95.400002,96.129997,95.019997,95.750000,84.826439,2518800
2019-05-31,94.379997,95.000000,92.650002,92.919998,82.319290,4192400
2019-06-03,92.839996,95.070000,92.830002,94.129997,83.391258,4971400
2019-06-04,95.480003,97.680000,94.690002,97.660004,86.518547,5096000
2019-06-05,98.330002,98.650002,97.580002,98.209999,87.005798,2766900
2019-06-06,98.220001,98.449997,97.430000,98.000000,86.819748,2643200
2019-06-07,98.690002,98.940002,98.050003,98.230003,87.023506,2803200
2019-06-10,99.150002,100.430000,98.919998,100.089996,88.671318,3327200
2019-06-11,100.989998,101.339996,99.860001,100.010002,88.600449,3229200
2019-06-12,99.580002,100.430000,99.370003,100.400002,88.945946,2261700
2019-06-13,101.000000,102.290001,100.959999,102.019997,90.381142,2943100
2019-06-14,101.849998,101.889999,100.650002,101.620003,90.026741,1829500
2019-06-17,101.650002,101.930000,100.970001,101.400002,89.831863,2317800
2019-06-18,101.889999,103.589996,101.639999,102.150002,90.496300,2524200
2019-06-19,102.260002,102.519997,100.970001,101.559998,89.973595,2056500
2019-06-20,102.750000,103.690002,102.410004,103.400002,91.603706,2622900
2019-06-21,103.410004,103.639999,102.139999,102.169998,90.514015,5283100
2019-06-24,101.650002,101.989998,99.660004,99.720001,88.343521,3704600
2019-06-25,99.720001,99.720001,96.989998,97.129997,86.048996,5339400
2019-06-26,97.610001,100.379997,97.139999,99.970001,88.565002,4624000
2019-06-27,100.339996,102.089996,100.169998,101.699997,90.097633,2613600
2019-06-28,102.239998,103.470001,102.239998,103.269997,91.488533,3130400
2019-07-01,104.580002,105.120003,102.379997,102.970001,91.222755,2627600
2019-07-02,103.129997,103.129997,101.320000,102.000000,90.363403,2020200
2019-07-03,102.220001,103.209999,101.860001,103.199997,91.426521,1193300
2019-07-05,102.790001,102.790001,101.250000,102.419998,90.735481,1572000
2019-07-08,101.709999,102.680000,101.709999,101.919998,90.292542,1675300
2019-07-09,101.629997,101.760002,101.160004,101.730003,90.124214,1952300
2019-07-10,102.430000,102.449997,101.260002,101.620003,90.026741,1992400
2019-07-11,101.639999,103.389999,101.459999,103.330002,91.541672,1820000
2019-07-12,103.699997,106.209999,103.699997,105.910004,93.827347,3541300
2019-07-15,105.720001,106.250000,104.550003,105.790001,93.721031,2288200
2019-07-16,106.250000,107.529999,105.559998,105.610001,93.561577,2958400
2019-07-17,105.080002,105.080002,102.089996,102.230003,90.567169,3672300
2019-07-18,101.910004,102.959999,101.820000,102.800003,91.072144,2359000
2019-07-19,103.209999,104.830002,103.160004,103.309998,91.523964,3011800
2019-07-22,103.910004,104.459999,103.639999,104.010002,92.144119,2495400
2019-07-23,104.480003,105.309998,104.010002,105.269997,93.260338,3362300
2019-07-24,110.070000,115.050003,109.610001,114.389999,101.339912,12086000
2019-07-25,115.300003,118.290001,114.879997,118.250000,104.759560,8941300
2019-07-26,117.480003,121.300003,117.440002,120.580002,106.823723,8526500
2019-07-29,119.379997,119.800003,118.099998,118.750000,105.202499,4171100
2019-07-30,117.680000,120.580002,117.160004,119.809998,106.141579,3265900
2019-07-31,119.650002,121.199997,118.190002,119.470001,105.840363,4859500
2019-08-01,118.870003,120.769997,116.570000,116.980003,103.634438,5106700
2019-08-02,116.650002,118.089996,116.300003,117.199997,103.829330,3669300
2019-08-05,115.480003,115.720001,113.629997,114.849998,101.747437,4332900
2019-08-06,115.610001,115.930000,113.589996,115.000000,101.880325,4875200
2019-08-07,113.639999,115.559998,112.220001,115.410004,102.243546,3529400
2019-08-08,116.540001,117.800003,116.250000,117.550003,104.139404,2349100
2019-08-09,117.250000,117.440002,115.440002,115.750000,102.544754,2113800
2019-08-12,115.129997,115.940002,114.459999,114.889999,101.782852,1724000
2019-08-13,114.400002,117.930000,114.250000,115.830002,102.615639,2804800
2019-08-14,114.760002,115.349998,113.900002,114.040001,101.029831,3775700
2019-08-15,114.699997,114.830002,112.709999,113.900002,100.905807,3698000
2019-08-16,113.900002,115.430000,113.900002,115.300003,103.014359,2723300
2019-08-19,116.680000,117.500000,116.260002,116.790001,104.345573,2382600
2019-08-20,116.250000,116.480003,114.959999,115.040001,102.782043,2599100
2019-08-21,116.320000,116.599998,115.309998,115.930000,103.577209,1906900
2019-08-22,116.339996,116.940002,114.110001,115.220001,102.942863,3005000
2019-08-23,114.330002,114.650002,110.510002,111.279999,99.422684,4375800
2019-08-26,113.040001,114.750000,112.540001,114.360001,102.174492,3215800
2019-08-27,114.669998,115.000000,113.459999,114.129997,101.969017,2883900
2019-08-28,113.870003,116.790001,113.339996,116.330002,103.934593,2609900
2019-08-29,117.809998,119.510002,117.339996,118.370003,105.757225,2708100
2019-08-30,119.589996,119.849998,118.540001,118.660004,106.016335,2209700
2019-09-03,117.660004,118.379997,116.190002,117.330002,104.828018,1981800
2019-09-04,118.570000,119.940002,118.440002,119.470001,106.740013,2732900
2019-09-05,120.120003,122.540001,120.000000,121.199997,108.285667,2854900
2019-09-06,121.519997,121.889999,119.760002,120.080002,107.285019,2116500
2019-09-09,121.000000,122.190002,120.279999,121.660004,108.696671,2882300
2019-09-10,121.199997,122.470001,120.769997,122.400002,109.357803,3070200
2019-09-11,122.430000,122.900002,121.209999,122.849998,109.759857,2437000
2019-09-12,122.820000,123.629997,121.820000,122.559998,109.500771,2224400
2019-09-13,123.190002,123.449997,122.330002,122.669998,109.599052,3107300
2019-09-16,122.059998,122.959999,121.400002,122.570000,109.509697,2294400
2019-09-17,121.720001,122.519997,121.059998,122.389999,109.348862,2007500
2019-09-18,119.120003,121.300003,118.720001,121.040001,108.142731,4116500
2019-09-19,120.610001,120.760002,118.900002,119.120003,106.427330,3733700
2019-09-20,119.830002,120.919998,119.269997,120.699997,107.838951,5308400
2019-09-23,119.800003,120.889999,118.910004,119.050003,106.364769,2999900
2019-09-24,119.220001,119.970001,117.430000,117.989998,105.417702,3160500
2019-09-25,118.230003,119.900002,117.949997,119.050003,106.364769,3203000
2019-09-26,119.000000,119.000000,117.660004,118.449997,105.828705,1999400
2019-09-27,119.000000,119.500000,118.330002,118.949997,106.275421,2456000
2019-09-30,119.309998,120.000000,118.989998,119.820000,107.052719,2639000
2019-10-01,120.250000,120.699997,114.849998,115.809998,103.469986,4295800
2019-10-02,114.889999,115.980003,114.339996,115.239998,102.960747,3903400
2019-10-03,115.400002,116.470001,114.010002,115.900002,103.550430,2936300
2019-10-04,116.139999,117.599998,115.930000,117.489998,104.970985,2321800
2019-10-07,116.699997,117.029999,115.430000,115.570000,103.255569,2775800
2019-10-08,114.410004,114.410004,112.440002,112.739998,100.727119,3373900
2019-10-09,114.000000,114.500000,113.150002,113.860001,101.727791,2553200
2019-10-10,114.040001,115.430000,113.820000,115.279999,102.996468,2209500
2019-10-11,116.879997,117.980003,115.889999,116.019997,103.657608,3083300
2019-10-14,115.940002,116.669998,115.510002,115.870003,103.523605,1960300
2019-10-15,116.089996,118.160004,115.830002,116.480003,104.068619,2616300
2019-10-16,116.150002,117.540001,116.150002,117.500000,104.979919,2260600
2019-10-17,117.809998,118.919998,117.669998,118.389999,105.775108,2197500
2019-10-18,118.440002,118.639999,117.029999,117.349998,104.845917,2720600
2019-10-21,117.699997,119.250000,117.599998,118.519997,105.891235,3251100
2019-10-22,115.830002,116.559998,111.779999,116.099998,103.729103,8275700
2019-10-23,115.400002,116.070000,114.660004,115.150002,102.880333,3644200
2019-10-24,114.800003,115.500000,113.419998,114.010002,101.861809,2969600
2019-10-25,114.000000,115.970001,113.870003,115.720001,103.389595,2704400
2019-10-28,116.080002,117.279999,115.980003,116.250000,103.863113,1730400
2019-10-29,116.639999,117.639999,116.300003,116.910004,104.452797,2867300
2019-10-30,116.870003,117.000000,115.080002,116.879997,104.425980,2417300
2019-10-31,116.040001,116.879997,114.510002,115.169998,102.898193,2954200
2019-11-01,116.459999,119.580002,116.110001,119.510002,106.775749,4171900
2019-11-04,120.000000,123.099998,120.000000,123.019997,109.911743,4230700
2019-11-05,123.320000,123.779999,121.279999,121.389999,108.455437,3117800
2019-11-06,121.379997,121.949997,120.739998,121.949997,108.955757,2820200
2019-11-07,122.349998,124.660004,122.019997,123.489998,110.331673,3156200
2019-11-08,123.519997,125.309998,123.510002,124.300003,111.055359,2310700
2019-11-11,123.410004,123.760002,122.739998,123.139999,110.018974,1318700
2019-11-12,123.000000,123.680000,122.620003,123.010002,109.902809,1555800
2019-11-13,122.620003,123.459999,122.029999,123.019997,109.911743,1613600
2019-11-14,122.739998,124.230003,122.739998,124.080002,110.858818,1580400
2019-11-15,123.540001,124.019997,123.050003,123.730003,111.408043,1891000
2019-11-18,123.529999,123.750000,122.559998,122.769997,110.543648,1772700
2019-11-19,123.459999,123.540001,120.230003,120.540001,108.535736,3642600
2019-11-20,120.199997,120.320000,118.830002,119.010002,107.158119,2904600
2019-11-21,118.790001,119.709999,118.699997,119.519997,107.617317,1994700
2019-11-22,119.959999,121.110001,119.059998,119.320000,107.437225,2597800
2019-11-25,119.839996,120.400002,119.250000,120.300003,108.319626,2460400
2019-11-26,120.370003,121.680000,119.910004,121.199997,109.129990,2872800
2019-11-27,121.440002,121.699997,119.750000,119.870003,107.932472,1862700
2019-11-29,120.019997,120.250000,119.620003,119.730003,107.806404,1372000
2019-12-02,120.089996,120.660004,118.150002,118.220001,106.446793,2438300
2019-12-03,116.830002,117.400002,115.720001,116.930000,105.285248,2037000
2019-12-04,117.220001,118.230003,116.379997,116.470001,104.871048,2202200
2019-12-05,116.080002,116.400002,114.250000,115.010002,103.556465,4889400
2019-12-06,116.000000,117.849998,116.000000,117.529999,105.825493,2762700
2019-12-09,117.000000,118.360001,116.559998,118.139999,106.374741,1974100
2019-12-10,118.129997,119.370003,117.820000,118.540001,106.734901,2438800
2019-12-11,118.540001,118.540001,116.760002,116.790001,105.159187,3354200
2019-12-12,115.180000,117.550003,114.779999,116.949997,105.303261,4320600
2019-12-13,118.029999,119.629997,117.800003,118.620003,106.806946,2968100
2019-12-16,119.120003,119.930000,118.739998,119.120003,107.257164,2978200
2019-12-17,120.029999,121.320000,119.550003,120.290001,108.310631,2804800
2019-12-18,118.540001,118.750000,117.050003,117.949997,106.203651,4957500
2019-12-19,118.360001,119.559998,118.269997,118.559998,106.752907,3201000
2019-12-20,119.889999,119.889999,117.330002,117.400002,105.708427,6945000
2019-12-23,118.230003,119.419998,117.559998,118.940002,107.095093,2047500
2019-12-24,117.430000,118.360001,117.339996,118.330002,106.545830,872000
2019-12-26,119.089996,119.230003,118.599998,119.040001,107.185112,1274600
2019-12-27,119.449997,119.489998,118.570000,118.940002,107.095093,1419500
2019-12-30,119.220001,119.220001,116.250000,116.440002,104.844048,2430700
2019-12-31,116.040001,117.089996,115.570000,117.059998,105.402298,2875100
2020-01-02,117.680000,117.970001,115.230003,116.790001,105.159187,4158100
2020-01-03,114.970001,116.860001,114.839996,116.720001,105.096146,2477800
2020-01-06,115.449997,116.230003,114.370003,116.199997,104.627930,3381600
2020-01-07,115.860001,116.440002,115.070000,116.000000,104.447845,1952300
2020-01-08,115.379997,117.559998,115.320000,116.660004,105.042130,2016000
2020-01-09,117.029999,117.830002,116.379997,116.930000,105.285248,2151500
2020-01-10,117.070000,117.070000,115.599998,115.870003,104.330803,2545000
